CMDLINE /Users/georgeanton/Desktop/Interviews/blogs/advanced_concepts/python_concepts/venv/bin/python3.10 particle.py
MEM 0.300781 1676511416.8966
MEM 14.953125 1676511416.9995
MEM 32.757812 1676511417.1000
MEM 40.093750 1676511417.2008
MEM 44.031250 1676511417.3059
MEM 47.957031 1676511417.4096
MEM 66.851562 1676511417.5141
MEM 73.460938 1676511417.6186
MEM 73.460938 1676511417.7226
MEM 73.460938 1676511417.8275
MEM 73.460938 1676511417.9281
MEM 73.460938 1676511418.0285
MEM 73.460938 1676511418.1317
MEM 73.460938 1676511418.2368
MEM 73.460938 1676511418.3410
MEM 73.460938 1676511418.4459
MEM 73.460938 1676511418.5480
MEM 73.460938 1676511418.6491
MEM 73.460938 1676511418.7542
MEM 73.460938 1676511418.8592
MEM 73.460938 1676511418.9603
MEM 73.460938 1676511419.0644
MEM 73.460938 1676511419.1655
MEM 73.460938 1676511419.2661
MEM 73.460938 1676511419.3684
MEM 73.460938 1676511419.4732
MEM 73.460938 1676511419.5760
MEM 73.460938 1676511419.6801
MEM 73.460938 1676511419.7841
MEM 73.460938 1676511419.8884
MEM 73.460938 1676511419.9933
MEM 73.460938 1676511420.0966
MEM 73.460938 1676511420.2016
MEM 73.460938 1676511420.3059
MEM 73.460938 1676511420.4091
MEM 73.460938 1676511420.5135
MEM 73.460938 1676511420.6166
MEM 73.460938 1676511420.7204
MEM 73.460938 1676511420.8243
MEM 73.460938 1676511420.9287
MEM 73.460938 1676511421.0324
MEM 73.460938 1676511421.1357
MEM 73.460938 1676511421.2404
MEM 73.460938 1676511421.3449
MEM 73.460938 1676511421.4485
MEM 73.460938 1676511421.5520
MEM 73.460938 1676511421.6561
MEM 73.460938 1676511421.7609
MEM 73.460938 1676511421.8646
MEM 73.460938 1676511421.9676
MEM 73.460938 1676511422.0724
MEM 73.460938 1676511422.1764
MEM 73.460938 1676511422.2812
MEM 73.460938 1676511422.3843
MEM 73.460938 1676511422.4885
MEM 73.460938 1676511422.5934
MEM 73.460938 1676511422.6975
MEM 73.460938 1676511422.8007
MEM 73.460938 1676511422.9045
MEM 73.460938 1676511423.0094
MEM 73.460938 1676511423.1121
MEM 73.460938 1676511423.2164
MEM 73.460938 1676511423.3210
MEM 73.460938 1676511423.4247
MEM 73.460938 1676511423.5280
MEM 73.460938 1676511423.6326
MEM 73.460938 1676511423.7365
MEM 73.460938 1676511423.8404
MEM 73.460938 1676511423.9454
MEM 73.460938 1676511424.0482
MEM 73.460938 1676511424.1527
MEM 73.460938 1676511424.2559
MEM 73.460938 1676511424.3604
MEM 73.460938 1676511424.4654
MEM 73.460938 1676511424.5680
MEM 73.460938 1676511424.6724
MEM 73.460938 1676511424.7765
MEM 73.460938 1676511424.8803
MEM 73.460938 1676511424.9846
MEM 73.460938 1676511425.0886
MEM 73.460938 1676511425.1937
MEM 73.460938 1676511425.2984
MEM 73.460938 1676511425.4022
MEM 73.460938 1676511425.5059
MEM 73.460938 1676511425.6083
MEM 73.460938 1676511425.7119
MEM 73.460938 1676511425.8159
MEM 73.460938 1676511425.9212
MEM 73.460938 1676511426.0246
MEM 73.460938 1676511426.1281
MEM 73.460938 1676511426.2330
MEM 73.460938 1676511426.3358
MEM 73.460938 1676511426.4398
MEM 73.460938 1676511426.5446
MEM 73.460938 1676511426.6486
MEM 73.460938 1676511426.7520
MEM 73.460938 1676511426.8566
MEM 73.460938 1676511426.9597
MEM 73.460938 1676511427.0641
MEM 73.460938 1676511427.1692
MEM 73.460938 1676511427.2741
MEM 73.460938 1676511427.3758
MEM 73.460938 1676511427.4805
MEM 73.460938 1676511427.5846
MEM 73.460938 1676511427.6897
MEM 73.460938 1676511427.7934
MEM 73.460938 1676511427.8968
MEM 73.460938 1676511428.0006
MEM 73.460938 1676511428.1054
MEM 73.460938 1676511428.2082
MEM 73.460938 1676511428.3127
MEM 73.460938 1676511428.4159
MEM 73.460938 1676511428.5206
MEM 73.460938 1676511428.6244
MEM 73.460938 1676511428.7286
MEM 73.460938 1676511428.8322
MEM 73.460938 1676511428.9367
MEM 73.460938 1676511429.0409
MEM 73.460938 1676511429.1444
MEM 73.460938 1676511429.2486
MEM 73.460938 1676511429.3523
MEM 73.460938 1676511429.4567
MEM 73.460938 1676511429.5602
MEM 73.460938 1676511429.6642
MEM 73.460938 1676511429.7686
MEM 73.460938 1676511429.8730
MEM 73.460938 1676511429.9760
MEM 73.460938 1676511430.0808
MEM 73.460938 1676511430.1850
MEM 73.460938 1676511430.2892
MEM 73.460938 1676511430.3934
MEM 73.460938 1676511430.4958
MEM 73.460938 1676511430.6000
MEM 73.460938 1676511430.7038
MEM 73.460938 1676511430.8078
MEM 73.460938 1676511430.9121
MEM 73.460938 1676511431.0167
MEM 73.460938 1676511431.1202
MEM 73.460938 1676511431.2253
MEM 73.460938 1676511431.3293
MEM 73.460938 1676511431.4343
MEM 73.460938 1676511431.5380
MEM 73.460938 1676511431.6424
MEM 73.460938 1676511431.7470
MEM 73.460938 1676511431.8477
MEM 73.460938 1676511431.9520
MEM 73.460938 1676511432.0566
MEM 73.460938 1676511432.1598
MEM 73.460938 1676511432.2644
MEM 73.460938 1676511432.3686
MEM 73.460938 1676511432.4719
MEM 73.460938 1676511432.5766
MEM 73.460938 1676511432.6805
MEM 73.460938 1676511432.7846
MEM 73.460938 1676511432.8890
MEM 73.460938 1676511432.9923
MEM 73.460938 1676511433.0970
MEM 73.460938 1676511433.2018
MEM 73.460938 1676511433.3063
MEM 73.460938 1676511433.4084
MEM 73.460938 1676511433.5120
MEM 73.460938 1676511433.6172
MEM 73.460938 1676511433.7221
MEM 73.460938 1676511433.8257
MEM 73.460938 1676511433.9282
MEM 73.460938 1676511434.0328
MEM 73.460938 1676511434.1367
MEM 73.460938 1676511434.2400
MEM 73.460938 1676511434.3447
MEM 73.460938 1676511434.4478
MEM 73.460938 1676511434.5527
MEM 73.460938 1676511434.6561
MEM 73.460938 1676511434.7609
MEM 73.460938 1676511434.8646
MEM 73.460938 1676511434.9688
MEM 73.460938 1676511435.0724
MEM 73.460938 1676511435.1757
MEM 73.460938 1676511435.2807
MEM 73.460938 1676511435.3842
MEM 73.460938 1676511435.4887
MEM 73.460938 1676511435.5929
MEM 73.460938 1676511435.6974
MEM 73.460938 1676511435.8007
MEM 73.460938 1676511435.9048
MEM 73.460938 1676511436.0095
MEM 73.460938 1676511436.1121
MEM 73.460938 1676511436.2171
MEM 73.460938 1676511436.3216
MEM 73.460938 1676511436.4256
MEM 73.460938 1676511436.5288
MEM 73.460938 1676511436.6327
MEM 73.460938 1676511436.7365
MEM 73.460938 1676511436.8392
MEM 73.460938 1676511436.9404
MEM 73.460938 1676511437.0437
MEM 73.460938 1676511437.1446
MEM 73.460938 1676511437.2487
MEM 73.460938 1676511437.3528
MEM 73.460938 1676511437.4578
MEM 73.460938 1676511437.5619
MEM 73.460938 1676511437.6655
MEM 73.460938 1676511437.7672
MEM 73.460938 1676511437.8719
MEM 73.460938 1676511437.9764
MEM 73.460938 1676511438.0789
MEM 73.460938 1676511438.1824
MEM 73.460938 1676511438.2835
MEM 73.460938 1676511438.3864
MEM 73.460938 1676511438.4944
MEM 73.460938 1676511438.5966
MEM 73.460938 1676511438.7005
MEM 73.460938 1676511438.8012
MEM 73.460938 1676511438.9060
MEM 73.460938 1676511439.0100
MEM 73.460938 1676511439.1138
MEM 73.460938 1676511439.2173
MEM 73.460938 1676511439.3221
MEM 73.460938 1676511439.4248
MEM 73.460938 1676511439.5285
MEM 73.460938 1676511439.6328
MEM 73.460938 1676511439.7339
MEM 73.460938 1676511439.8361
MEM 73.460938 1676511439.9391
MEM 73.460938 1676511440.0419
MEM 73.460938 1676511440.1452
MEM 73.460938 1676511440.2479
MEM 73.460938 1676511440.3504
MEM 73.460938 1676511440.4554
MEM 73.460938 1676511440.5574
MEM 73.460938 1676511440.6619
MEM 73.460938 1676511440.7650
MEM 73.460938 1676511440.8698
MEM 73.460938 1676511440.9728
MEM 73.460938 1676511441.0766
MEM 73.460938 1676511441.1816
MEM 73.460938 1676511441.2862
MEM 73.460938 1676511441.3907
MEM 73.460938 1676511441.4941
MEM 73.460938 1676511441.5986
MEM 73.460938 1676511441.7026
MEM 73.460938 1676511441.8063
MEM 73.460938 1676511441.9071
MEM 73.460938 1676511442.0109
MEM 73.460938 1676511442.1111
MEM 73.460938 1676511442.2122
MEM 73.460938 1676511442.3172
MEM 73.460938 1676511442.4221
MEM 73.460938 1676511442.5236
MEM 73.460938 1676511442.6266
MEM 73.460938 1676511442.7271
MEM 73.460938 1676511442.8318
MEM 73.460938 1676511442.9322
MEM 73.460938 1676511443.0335
MEM 73.460938 1676511443.1380
MEM 73.460938 1676511443.2422
MEM 73.460938 1676511443.3453
MEM 73.460938 1676511443.4490
MEM 73.460938 1676511443.5533
MEM 73.460938 1676511443.6569
MEM 73.460938 1676511443.7585
MEM 73.460938 1676511443.8591
MEM 73.460938 1676511443.9629
MEM 73.460938 1676511444.0672
MEM 73.460938 1676511444.1690
MEM 73.460938 1676511444.2741
MEM 73.460938 1676511444.3748
MEM 73.460938 1676511444.4771
MEM 73.460938 1676511444.5821
MEM 73.460938 1676511444.6853
MEM 73.460938 1676511444.7896
MEM 73.460938 1676511444.8946
MEM 73.460938 1676511444.9983
MEM 73.460938 1676511445.1004
MEM 73.460938 1676511445.2016
MEM 73.460938 1676511445.3060
MEM 73.460938 1676511445.4098
MEM 73.460938 1676511445.5106
MEM 73.460938 1676511445.6157
MEM 73.460938 1676511445.7197
MEM 73.460938 1676511445.8239
MEM 73.460938 1676511445.9271
MEM 73.460938 1676511446.0284
MEM 73.460938 1676511446.1294
MEM 73.460938 1676511446.2318
MEM 73.460938 1676511446.3357
MEM 73.460938 1676511446.4393
MEM 73.460938 1676511446.5405
MEM 73.460938 1676511446.6450
MEM 73.460938 1676511446.7497
MEM 73.460938 1676511446.8545
MEM 73.460938 1676511446.9573
MEM 73.460938 1676511447.0583
MEM 73.460938 1676511447.1609
MEM 73.460938 1676511447.2655
MEM 73.460938 1676511447.3688
MEM 73.460938 1676511447.4740
MEM 73.460938 1676511447.5758
MEM 73.460938 1676511447.6807
MEM 73.460938 1676511447.7845
MEM 73.460938 1676511447.8883
MEM 73.460938 1676511447.9918
MEM 73.460938 1676511448.0925
MEM 73.460938 1676511448.1969
MEM 73.460938 1676511448.2983
MEM 73.460938 1676511448.4011
MEM 73.460938 1676511448.5060
MEM 73.460938 1676511448.6063
MEM 73.460938 1676511448.7087
MEM 73.460938 1676511448.8094
MEM 73.460938 1676511448.9135
MEM 73.460938 1676511449.0172
MEM 73.460938 1676511449.1213
MEM 73.460938 1676511449.2246
MEM 73.460938 1676511449.3292
MEM 73.460938 1676511449.4312
MEM 73.460938 1676511449.5356
MEM 73.460938 1676511449.6395
MEM 73.460938 1676511449.7435
MEM 73.460938 1676511449.8468
MEM 73.460938 1676511449.9520
